être			Etre			ETRE
abandonner		Abandonner		ABANDONNER
abîmer			Abîmer			ABIMER
accepter		Accepter		ACCEPTER
accessible		Accessible		ACCESSIBLE
accident		Accident		ACCIDENT
accompagner		Accompagner		ACCOMPAGNER
accord			Accord			ACCORD
accorder		Accorder		ACCORDER
accoucher		Accoucher		ACCOUCHER
accrocher		Accrocher		ACCROCHER
acheter			Acheter			ACHETER
additifs		Additifs		ADDITIFS
addition		Addition		ADDITION
administrer		Administrer		ADMINISTRER
adolescent		Adolescent		ADOLESCENT
adorer			Adorer			ADORER
adoucir			Adoucir			ADOUCIR
adresse			Adresse			ADRESSE
adulte			Adulte			ADULTE
aéroport		Aéroport		AEROPORT
affaire			Affaire			AFFAIRE
affection		Affection		AFFECTION
affiche			Affiche			AFFICHE
afficher		Afficher		AFFICHER
affliction		Affliction		AFFLICTION
affreux			Affreux			AFFREUX
âge			Age			AGE
agenda			Agenda			AGENDA
agrandir		Agrandir		AGRANDIR
agressif		Agressif		AGRESSIF
aider			Aider			AIDER
aimable			Aimable			AIMABLE
aimer			Aimer			AIMER
air			Air			AIR
ajouter			Ajouter			AJOUTER
alcool			Alcool			ALCOOL
aller			Aller			ALLER
allumer			Allumer			ALLUMER
alors			Alors			ALORS
alphabet			Alphabet		ALPHABET
amateur			Amateur			AMATEUR
ambition			Ambition		AMBITION
ambulance		Ambulance		AMBULANCE
amende			Amende			AMENDE
amener			Amener			AMENER
amérique		Amérique		AMERIQUE
amertume		Amertume		AMERTUME
ami			Ami			AMI
amour			Amour			AMOUR
amuser			Amuser			AMUSER
analyse			Analyse			ANALYSE
angleterre		Angleterre		ANGLETERRE
animal			Animal			ANIMAL
année			Année			ANNEE
anniversaire		Anniversaire		ANNIVERSAIRE
annoncer		Annoncer		ANNONCER
annuler			Annuler			ANNULER
annoncer		Annoncer		ANNONCER
annuler			Annuler			ANNULER
antenne			Antenne			ANTENNE
apaiser			Apaiser			APAISER
apercevoir		Apercevoir		APERCEVOIR
apéritif			Apéritif			APERITIF
appareil			Appareil			APPAREIL
appartement		Appartement		APPARTEMENT
appellation		Appellation		APPELLATION
appeler			Appeler			APPELER
apporter			Apporter		APPORTER
apprendre		Apprendre		APPRENDRE
après			Après			APRES
après			Après			APRES
arbre			Arbre			ARBRE
argent			Argent			ARGENT
armoire			Armoire			ARMOIRE
arranger			Arranger		ARRANGER
arrêt			Arrêt			ARRÊT
arrêter			Arrêter			ARRÊTER
arriver			Arriver			ARRIVER
articulation		Articulation		ARTICULATION
artificiel			Artificiel			ARTIFICIEL
ascendance		Ascendance		ASCENDANCE
asseoir			Asseoir			ASSEOIR
assez			Assez			ASSEZ
assiette			Assiette			ASSIETTE
association		Association		ASSOCIATION
assurance		Assurance		ASSURANCE
attacher			Attacher			ATTACHER
attachement		Attachement		ATTACHEMENT
attendre			Attendre		ATTENDRE
attention		Attention		ATTENTION
atténuer			Atténuer		ATTENUER
attitude			Attitude			ATTITUDE
attraper			Attraper			ATTRAPER
augmenter		Augmenter		AUGMENTER
aujourd'hui		Aujourd'hui		AUJOURD'HUI
aussi			Aussi			AUSSI
autobus			Autobus		AUTOBUS
automne			Automne		AUTOMNE
autonome		Autonome		AUTONOME
autoriser			Autoriser		AUTORISER
autre			Autre			AUTRE
avancer			Avancer			AVANCER
avant			Avant			AVANT
avec			Avec			AVEC
avenir			Avenir			AVENIR
avertir			Avertir			AVERTIR
aveugle			Aveugle			AVEUGLE
avion			Avion			AVION
avis			Avis			AVIS
avocat			Avocat			AVOCAT
avoir			Avoir			AVOIR
bain			Bain			BAIN
balle			Balle			BALLE
ballon			Ballon			BALLON
banane			Banane			BANANE
banlieue			Banlieue			BANLIEUE
banque			Banque			BANQUE
bas			Bas			BAS
bateau			Bateau			BATEAU
battre			Battre			BATTRE
bavarder			Bavarder		BAVARDER
beau			Beau			BEAU
beaucoup		Beaucoup		BEAUCOUP
bébé			Bébé			BEBE
bénéfice			Bénéfice			BENEFICE
bénévole			Bénévole		BENEVOLE
besoin			Besoin			BESOIN
bête			Bête			BÊTE
bêtise			Bêtise			BÊTISE
beurre			Beurre			BEURRE
bibliothèque		Bibliothèque		BIBLIOTHEQUE
bicyclette		Bicyclette		BICYCLETTE
bien			Bien			BIEN
bientôt			Bientôt			BIENTÔT
bijou			Bijou			BIJOU
bilan			Bilan			BILAN
bilingue			Bilingue			BILINGUE
billet			Billet			BILLET
bisou			Bisou			BISOU
bizarre			Bizarre			BIZARRE
blague			Blague			BLAGUE
blanc			Blanc			BLANC
blesser			Blesser			BLESSER
blessure			Blessure			BLESSURE
bleu			Bleu			BLEU
boeuf			Boeuf			BOEUF
bois			Bois			BOIS
boite			Boite			BOITE
boisson			Boisson			BOISSON
boire			Boire			BOIRE
bonbon			Bonbon			BONBON
bonjour			Bonjour			BONJOUR
bonne			Bonne			BONNE
bouche			Bouche			BOUCHE
bouger			Bouger			BOUGER
bougie			Bougie			BOUGIE
bouteille			Bouteille			BOUTEILLE
boutonner		Boutonner		BOUTONNER
bras			Bras			BRAS
briller			Briller			BRILLER
bronzer			Bronzer			BRONZER
brosser			Brosser			BROSSER
